animal_id,source,species,breed,breed_secondary,name,age,gender,color,physical_desc,temperament,status,owner_name,adopted,intake_type,location,image_url,date_listed
A927435,austin,chien,Husky sibérien,,*Broccoli,2 mois,Mâle,Black/Brown,,,Adoption,,1,Stray,"Wavre, Belgique",https://images.dog.ceo/breeds/airedale/n02096051_9135.jpg,2025-05-04
A927578,austin,chien,Berger allemand,Labrador Retriever,Coyote,2 ans,Mâle,Brun et noir,,,Adoption,,1,Owner Surrender,"Ottignies, Belgique",https://images.dog.ceo/breeds/boxer/n02108089_11001.jpg,2025-05-04
A928789,austin,chien,Pit Bull,,*Gorgeous George,2 ans,Mâle,Roux et blanc,,,Adoption,,1,Public Assist,"Nivelles, Belgique",https://images.dog.ceo/breeds/bakharwal-indian/Bakharwal.jpg,2025-05-03
A929560,austin,chien,Chihuahua (poil court),,Firulais,6 ans,Mâle,Brun et blanc,,,Return to Owner,,0,Stray,"Marche-en-Famenne, Belgique",https://images.dog.ceo/breeds/beagle/n02088364_13050.jpg,2025-05-03
A928328,austin,chien,Labrador Retriever,Affenpinscher,*Willie,3 ans,Mâle,Black/White,,,Adoption,,1,Stray,"Bastogne, Belgique",https://images.dog.ceo/breeds/airedale/n02096051_9135.jpg,2025-05-03
A928772,austin,chien,Berger allemand,,*Cooper,7 ans,Mâle,Brun,,,Transfer,,0,Stray,"Ciney, Belgique",https://images.dog.ceo/breeds/african-wild/n02116738_3024.jpg,2025-05-03
A928241,austin,chien,Labrador Retriever,Berger allemand,*Haagen-Dogs,2 mois,Mâle,Black/Brown,,,Adoption,,1,Stray,Outside Jurisdiction,https://images.dog.ceo/breeds/buhund-norwegian/hakon2.jpg,2025-05-03
A929631,austin,chien,Chihuahua (poil court),Teckel,Fiona,16 ans,Femelle,Fauve,,,Euthanasia,,0,Stray,"Andenne, Belgique",https://images.dog.ceo/breeds/borzoi/n02090622_2337.jpg,2025-05-03
A914734,austin,chien,Pit Bull,,Rio,1 an,Femelle,Fauve et blanc,,,Transfer,,0,Stray,"Waremme, Belgique",https://images.dog.ceo/breeds/cattledog-australian/IMG_1062.jpg,2025-05-03
A901944,austin,chien,Montagne des Pyrénées (croisé),,Wally,1 an,Mâle,Fauve et blanc,,,Adoption,,1,Stray,"Seraing, Belgique",https://images.dog.ceo/breeds/brabancon/n02112706_2042.jpg,2025-05-02
A927632,austin,chien,Bull Terrier,,*Esperanza,4 mois,Femelle,Blanc et noir,,,Adoption,,1,Stray,"Herstal, Belgique",https://images.dog.ceo/breeds/bullterrier-staffordshire/n02093256_5134.jpg,2025-05-02
A926588,austin,chien,Montagne des Pyrénées,,Big,6 mois,Mâle,Blanc et fauve,,,Adoption,,1,Owner Surrender,"Ans, Belgique",https://images.dog.ceo/breeds/cavapoo/doggo1.jpg,2025-05-02
A848454,austin,chat,"Chat domestique (poil court, croisé)",,Olli,11 ans,Femelle,Tabby roux,,,Adoption,,1,Owner Surrender,"Saint-Nicolas, Belgique",https://cdn2.thecatapi.com/images/5AdhMjeEu.jpg,2025-05-04
A464421,austin,chat,Siamois (croisé),,Princess,18 ans,Femelle,Lynx point,,,Adoption,,1,Owner Surrender,"Malines, Belgique",https://cdn2.thecatapi.com/images/hBXicehMA.jpg,2025-05-04
A927303,austin,chat,Chat domestique (poil court),,*Drusilla,1 an,Femelle,Écaille de tortue,,,Adoption,,1,Owner Surrender,"Louvain-la-Neuve, Belgique",https://cdn2.thecatapi.com/images/5iYq9NmT1.jpg,2025-05-04
A928474,austin,chat,Chat domestique (poil court),,*Midge,1 an,Femelle,Torbie,,,Adoption,,1,Public Assist,"Gembloux, Belgique",https://cdn2.thecatapi.com/images/8D--jCd21.jpg,2025-05-04
A928536,austin,chat,Chat domestique (poil court),,*Havana,2 mois,Mâle,Noir,,,Adoption,,1,Stray,"Jodoigne, Belgique",https://cdn2.thecatapi.com/images/5AdhMjeEu.jpg,2025-05-04
A926375,austin,chat,Chat domestique (poil court),,*Duck,1 mois,Mâle,Black/White,,,Adoption,,1,Stray,"Perwez, Belgique",https://cdn2.thecatapi.com/images/s4wQfYoEk.jpg,2025-05-04
A926373,austin,chat,Chat domestique (poil court),,*Owl,1 mois,Femelle,Noir,,,Adoption,,1,Stray,"Eghezée, Belgique",https://cdn2.thecatapi.com/images/8D--jCd21.jpg,2025-05-04
A926374,austin,chat,Chat domestique (poil court),,*Hen,1 mois,Femelle,Noir,,,Adoption,,1,Stray,"Hannut, Belgique",https://cdn2.thecatapi.com/images/7isAO4Cav.jpg,2025-05-04
A929023,austin,chat,Chat domestique (poil court),,Pluto,3 ans,Mâle,Tabby brun et blanc,,,Adoption,,1,Owner Surrender,"Braives, Belgique",https://cdn2.thecatapi.com/images/ozEvzdVM-.jpg,2025-05-04
A929143,austin,chat,Chat domestique (poil court),,*Brandy,8 mois,Femelle,Tabby brun,,,Adoption,,1,Stray,"Huy, Belgique",https://cdn2.thecatapi.com/images/4lXnnfxac.jpg,2025-05-03
A929266,austin,chat,Chat domestique (poil court),,*Natasha,2 ans,Femelle,Bleu,,,Adoption,,1,Stray,"Liège, Belgique",https://cdn2.thecatapi.com/images/jvg3XfEdC.jpg,2025-05-03
A928476,austin,chat,Chat domestique (poil court),,*Captain Catnip,6 mois,Mâle,Tabby crème,,,Adoption,,1,Stray,"Namur, Belgique",https://cdn2.thecatapi.com/images/j6oFGLpRG.jpg,2025-05-03
A929153,austin,chat,Chat domestique (poil long),,*Seraphina,2 ans,Femelle,Tricolore,,,Adoption,,1,Stray,"Bruxelles, Belgique",https://cdn2.thecatapi.com/images/TR-5nAd_S.jpg,2025-05-03
A927840,austin,chat,Chat domestique (poil long),,*Faygo,2 mois,Mâle,Roux,,,Adoption,,1,Stray,"Charleroi, Belgique",https://cdn2.thecatapi.com/images/k71ULYfRr.jpg,2025-05-03
A927841,austin,chat,Chat domestique (poil long),,*Fanta,2 mois,Mâle,Chamois,,,Adoption,,1,Stray,"Mons, Belgique",https://cdn2.thecatapi.com/images/HOrX5gwLS.jpg,2025-05-03
A929095,austin,chat,Chat domestique (poil court),,Sawyer,3 ans,Mâle,Tabby bleu,,,Adoption,,1,Owner Surrender,"Tournai, Belgique",https://cdn2.thecatapi.com/images/8D--jCd21.jpg,2025-05-03
A929171,austin,chat,Chat domestique (poil court),,Gracie,3 ans,Femelle,Tabby crème et blanc,,,Adoption,,1,Owner Surrender,"Arlon, Belgique",https://cdn2.thecatapi.com/images/0XYvRd7oD.jpg,2025-05-03
A929532,austin,chat,Chat domestique (poil court),,Birdy,3 ans,Femelle,Tricolore,,,Transfer,,0,Owner Surrender,"Dinant, Belgique",https://cdn2.thecatapi.com/images/xnsqonbjW.jpg,2025-05-03
A891961,austin,chat,Chat domestique (poil court),,*Lara,1 an,Femelle,Black/White,,,Adoption,,1,Stray,"Verviers, Belgique",https://cdn2.thecatapi.com/images/13MkvUreZ.jpg,2025-05-03
A929103,austin,chat,Chat domestique (poil court),,*Jamie Lee,1 an,Femelle,Tabby bleu,,,Adoption,,1,Stray,"Wavre, Belgique",https://cdn2.thecatapi.com/images/8D--jCd21.jpg,2025-05-03
A929597,austin,chat,Chat domestique (poil court),,Munchkin,1 an,Femelle,Tabby brun,,,Transfer,,0,Stray,"Ottignies, Belgique",https://cdn2.thecatapi.com/images/jvg3XfEdC.jpg,2025-05-02
A929443,austin,chat,Chat domestique (poil court),,Kit Kat,2 ans,Femelle,Tabby bleu,,,Adoption,,1,Owner Surrender,"Nivelles, Belgique",https://cdn2.thecatapi.com/images/0XYvRd7oD.jpg,2025-05-02
A923417,austin,lapin,Lapin (poil court),,*Snowy,1 an,Mâle,Blanc et brun,,,Adoption,,1,Stray,"Marche-en-Famenne, Belgique",https://cdn.stocksnap.io/img-thumbs/960w/K2CC58I877.jpg,2025-05-04
A923416,austin,lapin,Lapin (poil court),,*Rainy,1 an,Femelle,Blanc et brun,,,Adoption,,1,Stray,"Bastogne, Belgique",https://cdn.stocksnap.io/img-thumbs/960w/K2CC58I877.jpg,2025-04-16
A927384,austin,lapin,Lapin (poil court),,*Napoleon,6 mois,Mâle,Blanc et noir,,,Adoption,,1,Stray,"Ciney, Belgique",https://cdn.stocksnap.io/img-thumbs/960w/K2CC58I877.jpg,2025-04-09
A927315,austin,lapin,Lapin (poil court),,Lottie,9 mois,Femelle,Gris et blanc,,,Adoption,,1,Owner Surrender,"Andenne, Belgique",https://cdn.stocksnap.io/img-thumbs/960w/K2CC58I877.jpg,2025-04-01
A927316,austin,lapin,Lapin (poil court),,Lola,9 mois,Femelle,Black/White,,,Adoption,,1,Owner Surrender,"Waremme, Belgique",https://cdn.stocksnap.io/img-thumbs/960w/K2CC58I877.jpg,2025-04-01
A926270,austin,lapin,Lapin (poil court),,*Tippy,3 ans,Femelle,Blanc et brun,,,Adoption,,1,Stray,"Seraing, Belgique",https://cdn.stocksnap.io/img-thumbs/960w/K2CC58I877.jpg,2025-03-19
A925193,austin,lapin,Lapin (poil court),,Calvin,4 mois,Mâle,Fauve,,,Adoption,,1,Owner Surrender,"Herstal, Belgique",https://cdn.stocksnap.io/img-thumbs/960w/K2CC58I877.jpg,2025-03-13
A922821,austin,lapin,Lapin (poil long),,*Amy Lee,6 mois,Femelle,Noir,,,Adoption,,1,Owner Surrender,"Ans, Belgique",https://cdn.stocksnap.io/img-thumbs/960w/K2CC58I877.jpg,2025-03-08
A923414,austin,lapin,Lapin (poil court),,*Sunshine,1 an,Mâle,Blanc et brun,,,Adoption,,1,Stray,"Saint-Nicolas, Belgique",https://cdn.stocksnap.io/img-thumbs/960w/K2CC58I877.jpg,2025-03-07
A925193,austin,lapin,Lapin (poil court),,Calvin,4 mois,Mâle,Fauve,,,Adoption,,1,Owner Surrender,"Malines, Belgique",https://cdn.stocksnap.io/img-thumbs/960w/K2CC58I877.jpg,2025-02-23
A925004,austin,lapin,Lapin (poil court),,Basil,14 ans,Mâle,Blue/White,,,Transfer,,0,Owner Surrender,"Louvain-la-Neuve, Belgique",https://cdn.stocksnap.io/img-thumbs/960w/K2CC58I877.jpg,2025-02-23
A922392,austin,lapin,Lapin (poil court),,Skye,7 ans,Mâle,Blanc et bringé brun,,,Transfer,,0,Owner Surrender,"Gembloux, Belgique",https://cdn.stocksnap.io/img-thumbs/960w/K2CC58I877.jpg,2025-02-11
A928645,austin,autre,Cochon d'Inde,,Brownie,3 ans,Mâle,Tricolore et roux,,,Transfer,,0,Owner Surrender,"Jodoigne, Belgique",https://live.staticflickr.com/8743/16837941274_60b0535525_b.jpg,2025-04-29
A928643,austin,autre,Cochon d'Inde,,Leo,3 ans,Mâle,Tricolore et blanc,,,Transfer,,0,Owner Surrender,"Perwez, Belgique",https://live.staticflickr.com/8743/16837941274_60b0535525_b.jpg,2025-04-29
A928646,austin,autre,Cochon d'Inde,,Olive,3 ans,Mâle,Tricolore et fauve,,,Transfer,,0,Owner Surrender,"Eghezée, Belgique",https://live.staticflickr.com/8743/16837941274_60b0535525_b.jpg,2025-04-29
A927238,austin,autre,Cochon d'Inde,,Cow,4 ans,Femelle,Black/White,,,Transfer,,0,Owner Surrender,"Hannut, Belgique",https://live.staticflickr.com/8743/16837941274_60b0535525_b.jpg,2025-04-10
A927236,austin,autre,Cochon d'Inde,,Peaches,4 ans,Femelle,Fauve et blanc,,,Transfer,,0,Owner Surrender,"Braives, Belgique",https://live.staticflickr.com/8743/16837941274_60b0535525_b.jpg,2025-04-10
A927237,austin,autre,Cochon d'Inde,,Snickers,4 ans,Femelle,Tricolore,,,Transfer,,0,Owner Surrender,"Huy, Belgique",https://live.staticflickr.com/8743/16837941274_60b0535525_b.jpg,2025-04-10
A918020,austin,autre,Furet,,Shoe,2 ans,Mâle,Noir,,,Adoption,,1,Owner Surrender,"Liège, Belgique",https://live.staticflickr.com/3946/15545713769_da8406ca55_b.jpg,2024-11-16
A918019,austin,autre,Furet,,Sock,1 an,Femelle,Blanc,,,Adoption,,1,Owner Surrender,"Namur, Belgique",https://live.staticflickr.com/3946/15545713769_da8406ca55_b.jpg,2024-11-16
A904927,austin,autre,Furet,,*Lean Cuisine,1 an,Unknown,Blanc,,,Adoption,,1,Stray,"Bruxelles, Belgique",https://live.staticflickr.com/3946/15545713769_da8406ca55_b.jpg,2024-05-20
A904933,austin,autre,Furet,,*Hungry Man,1 an,Unknown,Zibeline,,,Adoption,,1,Stray,"Charleroi, Belgique",https://live.staticflickr.com/3946/15545713769_da8406ca55_b.jpg,2024-05-20
A896727,austin,autre,Hamster,,Chente,1 an,Mâle,Blanc et gris,,,Return to Owner,,0,Stray,"Mons, Belgique",https://live.staticflickr.com/30/51580120_07f15fbd22_b.jpg,2024-01-21
A893265,austin,autre,Hamster,,Cranberry,2 ans,Femelle,Brun et blanc,,,Adoption,,1,Abandoned,"Tournai, Belgique",https://live.staticflickr.com/30/51580120_07f15fbd22_b.jpg,2023-11-22
A881463,austin,autre,Hamster,,*Deathwish,1 an,Femelle,Tricolore,,,Adoption,,1,Stray,"Arlon, Belgique",https://live.staticflickr.com/30/51580120_07f15fbd22_b.jpg,2023-08-10
A864780,austin,autre,Hamster,,*Cupcake,1 an,Femelle,Roux et blanc,,,Adoption,,1,Stray,"Dinant, Belgique",https://live.staticflickr.com/30/51580120_07f15fbd22_b.jpg,2022-09-10
A887101,austin,autre,Hérisson,,Jose,1 an,Mâle,Blanc et gris,,,Adoption,,1,Owner Surrender,"Verviers, Belgique",https://upload.wikimedia.org/wikipedia/commons/7/71/Hedgehog_animals_and_you_LA_zoo.jpg,2023-08-18
A821217,austin,autre,Hérisson,,*Quill I Am,4 mois,Unknown,Blanc et noir,,,Transfer,,0,Owner Surrender,"Wavre, Belgique",https://upload.wikimedia.org/wikipedia/commons/7/71/Hedgehog_animals_and_you_LA_zoo.jpg,2020-08-11
A927724,austin,oiseau,Poule,,*Hank,1 an,Mâle,Roux et noir,,,Adoption,,1,Stray,"Ottignies, Belgique",https://live.staticflickr.com/4907/45711727541_681cd554e9_b.jpg,2025-04-19
A919338,austin,oiseau,Poule,,*Bobsled,2 ans,Mâle,Gris,,,Adoption,,1,Stray,"Nivelles, Belgique",https://live.staticflickr.com/4907/45711727541_681cd554e9_b.jpg,2024-12-31
A919340,austin,oiseau,Poule,,*Holly,2 ans,Femelle,Brun,,,Adoption,,1,Stray,"Marche-en-Famenne, Belgique",https://live.staticflickr.com/4907/45711727541_681cd554e9_b.jpg,2024-12-31
A919339,austin,oiseau,Poule,,*Ivy,2 ans,Femelle,Gris,,,Adoption,,1,Stray,"Bastogne, Belgique",https://live.staticflickr.com/4907/45711727541_681cd554e9_b.jpg,2024-12-31
A919337,austin,oiseau,Poule,,*Carol,2 ans,Femelle,Noir,,,Adoption,,1,Stray,"Ciney, Belgique",https://live.staticflickr.com/4907/45711727541_681cd554e9_b.jpg,2024-12-23
A919121,austin,oiseau,Poule,,*Doug,1 an,Unknown,Blanc,,,Adoption,,1,Owner Surrender,"Andenne, Belgique",https://live.staticflickr.com/4907/45711727541_681cd554e9_b.jpg,2024-12-06
A918327,austin,oiseau,Poule,,*Juke,6 mois,Mâle,Noir,,,Adoption,,1,Owner Surrender,"Waremme, Belgique",https://live.staticflickr.com/4907/45711727541_681cd554e9_b.jpg,2024-12-06
A919122,austin,oiseau,Poule,,*Donnie,1 an,Unknown,Blanc,,,Adoption,,1,Owner Surrender,"Seraing, Belgique",https://live.staticflickr.com/4907/45711727541_681cd554e9_b.jpg,2024-12-06
A902283,austin,oiseau,Canard,,Mama Duck,2 ans,Femelle,Blanc,,,Lost,,0,Public Assist,"Herstal, Belgique",https://live.staticflickr.com/4165/33694468644_198a9ab5a7_b.jpg,2024-04-23
